tenure,MonthlyCharges,TotalCharges,gender,PaymentMethod,Contract,Churn_prediction
1345,57,100.75,5985.0,Female,Credit card (automatic),One year,No Churn
4343,8,75.75,606.25,Female,Electronic check,Month-to-month,Churn
6119,14,51.45,727.85,Female,Credit card (automatic),One year,No Churn
2873,25,94.7,2362.1,Male,Bank transfer (automatic),Month-to-month,No Churn
1084,52,19.6,1012.4,Female,Credit card (automatic),One year,No Churn
177,7,76.45,503.6,Female,Bank transfer (automatic),Month-to-month,No Churn
5556,13,79.8,973.45,Male,Electronic check,Month-to-month,No Churn
4810,15,89.85,1424.95,Female,Electronic check,Month-to-month,Churn
6608,22,55.15,1193.05,Male,Credit card (automatic),One year,No Churn
393,19,19.9,367.55,Female,Mailed check,Month-to-month,No Churn
6006,23,30.35,678.75,Male,Bank transfer (automatic),Month-to-month,Churn
3107,72,113.65,8182.75,Female,Bank transfer (automatic),Two year,No Churn
1817,72,98.35,6929.4,Male,Bank transfer (automatic),Two year,No Churn
1075,59,96.65,5580.8,Female,Bank transfer (automatic),Month-to-month,No Churn
2653,70,75.35,5437.75,Female,Credit card (automatic),Two year,No Churn
2164,70,101.1,6994.8,Male,Credit card (automatic),Two year,No Churn
3872,9,103.1,970.45,Male,Electronic check,Month-to-month,Churn
1317,3,24.6,86.35,Female,Mailed check,Month-to-month,Churn
3254,17,101.8,1752.45,Male,Electronic check,Month-to-month,Churn
3425,28,70.4,1992.2,Female,Bank transfer (automatic),One year,No Churn
3658,10,54.25,583.0,Female,Electronic check,Month-to-month,No Churn
3513,11,20.95,267.35,Male,Bank transfer (automatic),Month-to-month,No Churn
2177,72,102.65,7550.3,Male,Credit card (automatic),Two year,No Churn
3593,8,70.1,551.35,Male,Mailed check,Month-to-month,No Churn
4852,69,20.3,1356.3,Male,Credit card (automatic),Two year,No Churn
1375,39,19.85,854.8,Female,Bank transfer (automatic),Two year,No Churn
2533,67,50.9,3281.65,Male,Credit card (automatic),Two year,No Churn
3914,39,19.9,791.15,Male,Mailed check,One year,No Churn
3012,54,65.65,3566.7,Male,Credit card (automatic),Two year,No Churn
6633,1,74.5,74.5,Female,Electronic check,Month-to-month,Churn
321,72,60.0,4264.0,Female,Electronic check,Two year,No Churn
742,10,98.55,1008.55,Male,Electronic check,Month-to-month,Churn
1149,13,96.65,1162.85,Male,Mailed check,Month-to-month,No Churn
1188,35,99.25,3532.0,Female,Electronic check,One year,Churn
2903,12,35.5,432.25,Male,Mailed check,Month-to-month,No Churn
4333,31,90.55,2929.75,Male,Credit card (automatic),Month-to-month,Churn
2576,53,108.25,5935.1,Female,Bank transfer (automatic),Month-to-month,No Churn
2977,1,19.5,19.5,Male,Mailed check,Month-to-month,Churn
2678,30,19.7,625.05,Male,Mailed check,One year,No Churn
37,46,74.8,3548.3,Female,Credit card (automatic),Month-to-month,No Churn
1795,19,89.65,1761.05,Female,Mailed check,Month-to-month,No Churn
1328,23,54.25,1221.55,Female,Electronic check,Month-to-month,No Churn
5972,15,55.0,757.1,Female,Credit card (automatic),Month-to-month,No Churn
2579,48,20.15,982.95,Male,Credit card (automatic),Two year,No Churn
3172,25,95.9,2448.75,Male,Electronic check,Month-to-month,Churn
2638,52,105.0,5426.85,Male,Bank transfer (automatic),One year,No Churn
4464,12,81.7,858.6,Male,Bank transfer (automatic),Month-to-month,Churn
676,48,24.55,1203.95,Female,Bank transfer (automatic),One year,No Churn
5421,38,20.05,741.5,Female,Mailed check,Two year,No Churn
5060,18,35.2,607.3,Female,Electronic check,Month-to-month,Churn
6685,45,50.25,2221.55,Female,Credit card (automatic),Month-to-month,No Churn
535,12,89.55,1021.75,Male,Electronic check,Month-to-month,Churn
6180,66,102.4,6471.85,Female,Bank transfer (automatic),Two year,No Churn
233,72,20.25,1566.9,Female,Credit card (automatic),Two year,No Churn
1379,70,44.6,3058.15,Female,Bank transfer (automatic),Two year,No Churn
734,27,90.15,2423.4,Female,Bank transfer (automatic),Month-to-month,No Churn
3802,1,20.0,20.0,Male,Mailed check,Month-to-month,Churn
2167,13,95.25,1233.65,Male,Electronic check,Month-to-month,No Churn
4714,65,90.45,5957.9,Female,Mailed check,Two year,No Churn
1042,14,70.2,1046.5,Female,Electronic check,Month-to-month,Churn
5810,17,85.45,1451.6,Female,Electronic check,Month-to-month,Churn
3406,31,20.95,683.25,Female,Mailed check,One year,No Churn
6010,24,24.2,609.05,Male,Mailed check,Two year,No Churn
2110,3,20.2,65.95,Female,Electronic check,Month-to-month,Churn
1509,17,76.65,1313.55,Male,Electronic check,Month-to-month,Churn
2742,66,68.75,4447.55,Male,Bank transfer (automatic),Two year,No Churn
3077,45,53.3,2296.25,Male,Credit card (automatic),Two year,No Churn
319,35,91.5,3236.35,Male,Credit card (automatic),Month-to-month,No Churn
2929,40,40.25,1564.05,Male,Mailed check,One year,No Churn
1057,10,84.7,832.05,Female,Mailed check,Month-to-month,Churn
1153,52,64.3,3410.6,Female,Mailed check,One year,No Churn
6026,13,19.45,232.1,Female,Credit card (automatic),Month-to-month,No Churn
50,43,90.25,3838.75,Female,Electronic check,Month-to-month,No Churn
5574,41,20.45,775.6,Female,Electronic check,Month-to-month,No Churn
1862,52,50.5,2566.3,Female,Electronic check,Month-to-month,No Churn
6003,71,93.2,6506.15,Female,Credit card (automatic),Two year,No Churn
511,61,106.45,6300.15,Male,Electronic check,Month-to-month,No Churn
435,26,44.45,1183.8,Female,Credit card (automatic),Month-to-month,No Churn
5955,72,68.4,4855.35,Male,Bank transfer (automatic),Two year,No Churn
3399,42,78.45,3373.4,Female,Credit card (automatic),Two year,No Churn
2333,57,65.2,3687.85,Female,Bank transfer (automatic),Month-to-month,No Churn
2354,9,19.6,197.4,Male,Mailed check,Two year,No Churn
6151,9,71.0,672.55,Female,Electronic check,Month-to-month,Churn
4350,33,44.55,1462.6,Male,Credit card (automatic),Month-to-month,No Churn
3518,1,19.45,19.45,Male,Mailed check,Month-to-month,Churn
5653,7,79.0,522.95,Female,Electronic check,Month-to-month,No Churn
2283,1,71.55,71.55,Male,Mailed check,Month-to-month,Churn
764,65,19.9,1292.6,Male,Mailed check,Two year,No Churn
543,10,86.05,834.1,Male,Bank transfer (automatic),Month-to-month,Churn
3129,70,95.0,6602.9,Male,Bank transfer (automatic),One year,No Churn
2323,29,98.6,2933.2,Female,Credit card (automatic),Month-to-month,Churn
5698,21,104.4,2157.95,Male,Electronic check,Month-to-month,Churn
2654,1,90.75,90.75,Male,Electronic check,Month-to-month,Churn
2758,5,20.25,109.8,Male,Mailed check,Month-to-month,No Churn
5313,56,89.7,4952.95,Male,Mailed check,Month-to-month,No Churn
5070,35,85.15,3030.6,Male,Electronic check,One year,No Churn
3710,10,20.45,242.4,Male,Mailed check,One year,No Churn
263,31,49.85,1520.1,Female,Bank transfer (automatic),Two year,No Churn
4900,37,85.7,3171.15,Male,Electronic check,Month-to-month,No Churn
2206,57,95.25,5427.05,Male,Bank transfer (automatic),Month-to-month,Churn
2963,34,25.6,917.15,Female,Credit card (automatic),One year,No Churn
6283,3,99.0,287.4,Female,Credit card (automatic),Month-to-month,Churn
1397,4,82.85,319.6,Female,Credit card (automatic),Month-to-month,Churn
6699,54,20.5,1035.7,Female,Mailed check,Two year,Churn
2402,6,19.7,111.65,Male,Mailed check,Month-to-month,No Churn
3668,22,59.75,1374.35,Male,Bank transfer (automatic),One year,No Churn
6340,23,96.9,2085.45,Male,Credit card (automatic),Month-to-month,Churn
429,68,58.25,3975.7,Female,Bank transfer (automatic),One year,Churn
5735,48,20.0,935.9,Female,Mailed check,Two year,No Churn
3904,34,20.8,635.9,Male,Mailed check,Month-to-month,No Churn
3381,41,79.85,3320.75,Female,Bank transfer (automatic),One year,No Churn
5057,9,75.85,724.65,Male,Electronic check,Month-to-month,Churn
6833,18,103.6,1806.35,Female,Credit card (automatic),Month-to-month,No Churn
1414,35,95.5,3418.2,Male,Electronic check,Month-to-month,Churn
6359,55,79.4,4238.45,Male,Electronic check,Month-to-month,Churn
230,54,108.0,5760.65,Male,Credit card (automatic),Two year,Churn
3932,2,78.55,149.55,Female,Electronic check,Month-to-month,Churn
5478,52,106.3,5487.0,Male,Electronic check,Two year,Churn
789,72,69.65,4908.25,Male,Bank transfer (automatic),Two year,No Churn
472,9,70.05,564.4,Male,Mailed check,Month-to-month,No Churn
1079,3,69.55,200.2,Female,Electronic check,Month-to-month,Churn
245,4,75.35,273.4,Male,Electronic check,Month-to-month,Churn
1536,69,75.75,5388.15,Male,Bank transfer (automatic),Two year,No Churn
2239,67,35.7,2545.7,Female,Credit card (automatic),Two year,No Churn
4466,4,79.9,324.3,Male,Electronic check,Month-to-month,Churn
544,13,45.55,597.0,Male,Credit card (automatic),Month-to-month,No Churn
1302,45,81.0,3533.6,Female,Mailed check,Two year,No Churn
6744,68,101.35,7110.75,Male,Bank transfer (automatic),One year,No Churn
4189,69,73.7,4885.85,Female,Credit card (automatic),One year,No Churn
3422,70,58.35,4214.25,Female,Bank transfer (automatic),Two year,No Churn
408,1,19.9,19.9,Female,Mailed check,Month-to-month,Churn
79,45,25.9,1216.6,Female,Credit card (automatic),One year,No Churn
4844,37,20.3,755.4,Female,Bank transfer (automatic),One year,No Churn
3934,10,40.25,411.45,Female,Mailed check,One year,No Churn
5354,1,89.35,89.35,Female,Electronic check,Month-to-month,Churn
6611,29,69.05,1958.45,Male,Bank transfer (automatic),One year,No Churn
1606,72,104.1,7447.7,Male,Credit card (automatic),Two year,No Churn
1223,2,75.9,143.35,Female,Electronic check,Month-to-month,Churn
473,24,53.6,1315.35,Male,Mailed check,Month-to-month,No Churn
3276,4,79.15,317.25,Female,Electronic check,Month-to-month,Churn
932,72,19.3,1304.8,Male,Credit card (automatic),Two year,No Churn
4739,11,79.0,929.3,Female,Bank transfer (automatic),Month-to-month,Churn
468,44,19.9,868.1,Female,Mailed check,Two year,No Churn
6261,62,20.45,1297.35,Male,Bank transfer (automatic),Two year,No Churn
3862,70,25.4,1782.05,Male,Mailed check,Two year,No Churn
3185,1,25.05,25.05,Female,Mailed check,Month-to-month,Churn
3837,4,105.65,443.9,Female,Electronic check,One year,No Churn
3078,2,85.55,187.45,Female,Electronic check,Month-to-month,Churn
3437,41,56.3,2364.0,Female,Credit card (automatic),One year,No Churn
3103,1,19.45,19.45,Female,Electronic check,Month-to-month,No Churn
2080,72,84.1,5981.65,Male,Credit card (automatic),Two year,No Churn
6737,63,109.25,6841.4,Female,Bank transfer (automatic),Two year,No Churn
3218,68,79.6,5461.45,Male,Credit card (automatic),One year,Churn
5749,59,99.5,5890.0,Female,Electronic check,One year,Churn
1452,52,48.8,2555.05,Male,Credit card (automatic),Month-to-month,Churn
3615,26,105.75,2710.25,Male,Electronic check,Month-to-month,Churn
217,66,56.6,3789.2,Male,Bank transfer (automatic),Two year,No Churn
4235,56,95.65,5471.75,Female,Electronic check,One year,Churn
4086,72,79.2,5401.9,Female,Credit card (automatic),Two year,No Churn
6411,2,70.1,141.65,Male,Electronic check,Month-to-month,Churn
3299,68,117.2,8035.95,Male,Credit card (automatic),One year,Churn
3256,61,84.9,5264.5,Male,Bank transfer (automatic),One year,No Churn
5736,1,20.05,20.05,Male,Mailed check,Month-to-month,Churn
5753,2,19.9,33.7,Male,Credit card (automatic),Month-to-month,Churn
4660,2,19.5,31.55,Female,Mailed check,Month-to-month,Churn
4032,68,84.65,5683.6,Male,Electronic check,Month-to-month,No Churn
3936,9,68.25,576.95,Male,Bank transfer (automatic),Month-to-month,No Churn
3360,13,83.2,1060.6,Male,Electronic check,Month-to-month,Churn
5823,22,20.05,470.2,Female,Mailed check,Month-to-month,No Churn
1406,66,25.3,1673.8,Male,Credit card (automatic),Two year,No Churn
4407,8,20.35,178.7,Male,Mailed check,Month-to-month,No Churn
3916,2,69.95,143.9,Male,Mailed check,Month-to-month,Churn
1443,3,55.8,154.55,Male,Mailed check,Month-to-month,Churn
4631,5,92.5,452.7,Male,Electronic check,Month-to-month,Churn
994,13,20.0,268.45,Male,Credit card (automatic),Two year,No Churn
3855,53,65.0,3363.8,Male,Credit card (automatic),Month-to-month,No Churn
4791,3,20.0,49.65,Male,Bank transfer (automatic),Month-to-month,No Churn
332,46,94.9,4422.95,Male,Credit card (automatic),One year,No Churn
6059,39,40.3,1630.4,Female,Bank transfer (automatic),One year,No Churn
1287,30,107.5,3242.5,Female,Electronic check,Month-to-month,No Churn
4359,23,98.7,2249.1,Female,Credit card (automatic),Month-to-month,Churn
3204,40,20.4,854.9,Male,Bank transfer (automatic),One year,No Churn
5612,45,62.55,2796.45,Female,Credit card (automatic),One year,Churn
5979,53,19.65,978.0,Male,Bank transfer (automatic),Two year,No Churn
1061,72,112.4,8046.85,Female,Electronic check,Two year,No Churn
4439,28,20.3,487.95,Male,Credit card (automatic),Two year,No Churn
2351,49,67.4,3306.85,Female,Bank transfer (automatic),Two year,No Churn
3527,1,74.6,74.6,Male,Bank transfer (automatic),Month-to-month,Churn
711,20,81.0,1683.7,Female,Mailed check,Month-to-month,No Churn
2704,53,60.6,3297.0,Female,Credit card (automatic),One year,Churn
3285,67,69.2,4671.65,Male,Credit card (automatic),Two year,No Churn
5495,11,73.85,926.25,Male,Electronic check,Month-to-month,Churn
3263,52,85.8,4433.3,Female,Bank transfer (automatic),Month-to-month,No Churn
970,1,90.55,90.55,Female,Electronic check,Month-to-month,Churn
2299,48,55.5,2627.35,Female,Credit card (automatic),Two year,No Churn
2954,7,75.45,480.75,Female,Mailed check,Month-to-month,No Churn
752,7,71.35,515.75,Male,Credit card (automatic),Month-to-month,No Churn
3782,12,84.05,966.55,Female,Electronic check,Month-to-month,Churn
2943,40,24.6,973.95,Male,Mailed check,Two year,No Churn
4608,55,77.8,4323.35,Male,Bank transfer (automatic),Two year,No Churn
5642,20,19.5,403.15,Female,Mailed check,One year,No Churn
1144,1,35.55,35.55,Male,Electronic check,Month-to-month,Churn
5477,72,84.2,5986.55,Female,Bank transfer (automatic),Two year,No Churn
3977,63,110.1,6705.7,Male,Credit card (automatic),Two year,No Churn
5314,70,64.55,4504.9,Female,Bank transfer (automatic),Two year,No Churn
3149,8,64.1,504.05,Female,Mailed check,Month-to-month,No Churn
3592,1,45.65,45.65,Female,Electronic check,Month-to-month,Churn
239,16,19.75,284.35,Male,Mailed check,Two year,No Churn
5489,11,25.2,321.05,Female,Electronic check,Month-to-month,No Churn
3887,11,74.95,815.5,Male,Electronic check,Month-to-month,Churn
3289,41,88.5,3645.05,Female,Bank transfer (automatic),Month-to-month,No Churn
4913,14,76.1,1054.8,Male,Bank transfer (automatic),Two year,No Churn
5010,61,88.65,5321.25,Female,Credit card (automatic),Two year,No Churn
4096,20,89.4,1871.15,Female,Bank transfer (automatic),Month-to-month,Churn
3910,47,106.4,5127.95,Female,Electronic check,Month-to-month,No Churn
3412,2,59.5,130.5,Male,Mailed check,Two year,No Churn
2034,41,60.3,2511.3,Male,Bank transfer (automatic),One year,No Churn
2509,72,25.25,1841.2,Female,Bank transfer (automatic),Two year,No Churn
3295,72,80.2,5714.2,Female,Bank transfer (automatic),Two year,No Churn
5404,46,95.65,4664.2,Female,Credit card (automatic),One year,No Churn
3142,1,19.8,19.8,Male,Mailed check,Month-to-month,Churn
6779,29,45.0,1242.45,Male,Mailed check,Month-to-month,No Churn
3063,37,100.05,3810.55,Female,Electronic check,Month-to-month,Churn
6057,19,61.55,1093.2,Male,Credit card (automatic),Month-to-month,No Churn
6580,49,78.0,3824.2,Female,Credit card (automatic),One year,No Churn
4672,13,44.0,659.35,Male,Mailed check,Month-to-month,No Churn
2692,22,49.8,1049.05,Female,Electronic check,Month-to-month,Churn
6534,53,96.75,5206.55,Female,Mailed check,One year,No Churn
1965,24,49.55,1210.4,Male,Bank transfer (automatic),Month-to-month,No Churn
2585,37,19.8,813.3,Female,Mailed check,Two year,No Churn
6527,6,55.3,324.25,Male,Mailed check,Month-to-month,No Churn
2683,7,79.65,604.7,Female,Mailed check,Month-to-month,Churn
842,12,19.8,229.6,Female,Bank transfer (automatic),One year,No Churn
2572,71,25.0,1753.0,Female,Bank transfer (automatic),Two year,No Churn
3880,26,82.0,2083.1,Male,Credit card (automatic),One year,No Churn
1820,6,45.65,323.45,Female,Mailed check,Month-to-month,No Churn
1087,32,87.65,2766.4,Male,Bank transfer (automatic),Month-to-month,Churn
5107,47,58.6,2723.4,Female,Bank transfer (automatic),Month-to-month,No Churn
2746,31,21.0,697.7,Female,Mailed check,Two year,No Churn
503,52,84.05,4326.8,Female,Bank transfer (automatic),Month-to-month,No Churn
6248,60,60.8,3603.45,Female,Credit card (automatic),Two year,No Churn
3045,48,65.65,3094.65,Female,Electronic check,One year,No Churn
4274,45,18.85,867.3,Male,Bank transfer (automatic),One year,No Churn
4527,39,80.45,3201.55,Female,Electronic check,Two year,No Churn
585,1,85.7,85.7,Female,Electronic check,Month-to-month,Churn
6933,1,69.6,69.6,Male,Electronic check,Month-to-month,Churn
937,6,79.05,434.5,Female,Electronic check,Month-to-month,No Churn
5159,9,76.25,684.85,Male,Electronic check,Month-to-month,Churn
437,72,114.05,8468.2,Male,Credit card (automatic),Two year,No Churn
5014,71,52.3,3765.05,Male,Bank transfer (automatic),Month-to-month,No Churn
4374,71,19.6,1387.45,Male,Bank transfer (automatic),Two year,No Churn
4047,64,94.6,5948.7,Female,Credit card (automatic),Two year,No Churn
3573,28,19.55,543.8,Female,Bank transfer (automatic),Month-to-month,No Churn
5819,70,115.15,8250.0,Female,Credit card (automatic),Two year,No Churn
2574,39,95.65,3759.05,Male,Bank transfer (automatic),Month-to-month,Churn
169,16,20.4,321.4,Female,Electronic check,Month-to-month,No Churn
6035,66,110.85,7491.75,Male,Electronic check,One year,Churn
5533,21,95.4,2025.1,Female,Bank transfer (automatic),Month-to-month,Churn
1916,44,84.8,3862.55,Female,Bank transfer (automatic),Month-to-month,No Churn
5048,54,99.1,5437.1,Female,Electronic check,One year,No Churn
957,4,56.75,245.15,Male,Electronic check,Month-to-month,Churn
1025,60,110.0,6668.35,Female,Bank transfer (automatic),Two year,No Churn
6393,26,92.4,2349.8,Male,Credit card (automatic),Month-to-month,Churn
4205,24,78.6,1846.65,Female,Credit card (automatic),Two year,No Churn
1616,53,19.4,1110.35,Male,Mailed check,Two year,No Churn
6621,46,19.4,958.15,Female,Credit card (automatic),Two year,No Churn
3948,56,88.9,4968.0,Female,Bank transfer (automatic),One year,No Churn
2691,7,59.1,369.25,Female,Electronic check,One year,No Churn
1650,1,85.8,85.8,Female,Mailed check,Month-to-month,Churn
1870,1,45.55,45.55,Male,Mailed check,Month-to-month,Churn
5357,60,19.95,1258.15,Male,Mailed check,Two year,No Churn
179,61,20.55,1252.0,Male,Credit card (automatic),One year,No Churn
2412,42,33.55,1445.3,Female,Mailed check,One year,No Churn
3559,27,19.85,470.0,Male,Credit card (automatic),Two year,No Churn
3494,9,85.35,754.65,Female,Bank transfer (automatic),Month-to-month,Churn
3968,72,20.05,1423.65,Female,Bank transfer (automatic),Two year,No Churn
4652,23,19.65,478.1,Female,Credit card (automatic),One year,No Churn
6131,47,95.05,4504.55,Female,Electronic check,Month-to-month,Churn
6178,54,18.95,1031.1,Female,Mailed check,Two year,No Churn
31,2,95.5,181.65,Male,Credit card (automatic),Month-to-month,Churn
3653,38,60.0,2193.2,Male,Bank transfer (automatic),Two year,No Churn
5128,47,99.7,4747.2,Female,Electronic check,Month-to-month,Churn
1330,22,56.25,1292.2,Male,Credit card (automatic),One year,No Churn
2519,2,91.45,171.45,Male,Electronic check,Month-to-month,Churn
733,72,79.05,5730.7,Female,Bank transfer (automatic),Two year,No Churn
168,58,45.3,2651.2,Male,Electronic check,Month-to-month,No Churn
2298,69,79.2,5420.65,Male,Credit card (automatic),Two year,No Churn
1451,18,69.5,1199.4,Male,Mailed check,Month-to-month,No Churn
3601,55,20.0,1087.25,Female,Credit card (automatic),Month-to-month,No Churn
2149,46,101.1,4674.4,Female,Electronic check,One year,Churn
5141,5,19.25,86.05,Male,Mailed check,Month-to-month,No Churn
2087,4,33.65,137.85,Female,Electronic check,Month-to-month,No Churn
2741,5,89.5,477.7,Male,Electronic check,Month-to-month,Churn
6076,65,61.35,3874.1,Female,Bank transfer (automatic),One year,No Churn
6469,35,21.45,705.45,Male,Bank transfer (automatic),Two year,No Churn
4936,45,97.05,4385.05,Female,Electronic check,Month-to-month,No Churn
4689,2,19.9,57.4,Female,Electronic check,Month-to-month,Churn
2118,22,80.15,1790.65,Female,Electronic check,Month-to-month,Churn
4398,70,68.95,4858.7,Male,Credit card (automatic),Two year,No Churn
5067,30,66.3,1923.5,Female,Bank transfer (automatic),Month-to-month,No Churn
3433,61,107.75,6521.9,Male,Electronic check,One year,Churn
2676,29,20.35,617.35,Female,Mailed check,One year,No Churn
2609,61,105.55,6281.45,Male,Electronic check,Month-to-month,Churn
1097,25,90.4,2178.6,Male,Electronic check,One year,Churn
4864,71,113.15,7953.25,Male,Bank transfer (automatic),One year,No Churn
5682,1,35.0,35.0,Female,Electronic check,Month-to-month,Churn
1219,62,70.45,4300.45,Female,Credit card (automatic),Month-to-month,No Churn
6485,64,73.55,4764.0,Male,Mailed check,Month-to-month,No Churn
2851,64,90.6,5817.45,Female,Mailed check,Two year,No Churn
4951,29,84.3,2357.75,Male,Electronic check,Month-to-month,Churn
3319,2,70.75,146.9,Female,Electronic check,Month-to-month,Churn
2759,1,19.65,19.65,Male,Bank transfer (automatic),Month-to-month,No Churn
381,1,50.65,50.65,Male,Mailed check,Month-to-month,Churn
6586,45,24.65,1171.3,Female,Credit card (automatic),Two year,No Churn
4375,66,114.3,7383.7,Male,Bank transfer (automatic),One year,No Churn
3240,54,106.55,5763.3,Female,Bank transfer (automatic),One year,No Churn
1599,70,80.4,5717.85,Female,Bank transfer (automatic),Two year,No Churn
6773,37,92.5,3473.4,Male,Electronic check,Month-to-month,No Churn
4446,3,79.9,260.9,Male,Electronic check,Month-to-month,Churn
3626,23,55.3,1284.2,Male,Bank transfer (automatic),Month-to-month,No Churn
3639,60,100.5,6029.0,Female,Credit card (automatic),One year,No Churn
6269,35,33.45,1175.85,Female,Mailed check,Month-to-month,No Churn
2445,27,74.4,1972.35,Female,Mailed check,Month-to-month,No Churn
4251,24,52.5,1208.15,Female,Mailed check,Two year,No Churn
1410,2,93.85,170.85,Female,Electronic check,Month-to-month,Churn
2029,67,90.6,6056.15,Male,Credit card (automatic),One year,No Churn
2303,2,47.8,92.45,Male,Electronic check,Month-to-month,Churn
6388,1,20.4,20.4,Female,Mailed check,Month-to-month,Churn
80,1,79.35,79.35,Female,Electronic check,Month-to-month,Churn
1174,14,54.25,773.2,Female,Mailed check,One year,No Churn
3305,38,94.75,3653.0,Male,Electronic check,Month-to-month,No Churn
6267,1,70.1,70.1,Female,Electronic check,Month-to-month,Churn
5844,2,70.4,154.8,Female,Credit card (automatic),Month-to-month,Churn
95,12,78.95,927.35,Female,Electronic check,Month-to-month,Churn
576,31,98.05,3082.1,Male,Bank transfer (automatic),One year,No Churn
2542,35,72.1,2495.15,Male,Mailed check,One year,No Churn
6477,72,109.55,7920.7,Male,Bank transfer (automatic),Two year,No Churn
2405,8,94.2,777.3,Female,Electronic check,Month-to-month,Churn
4453,10,98.5,1037.75,Male,Electronic check,Month-to-month,Churn
5251,5,69.05,318.5,Female,Mailed check,Month-to-month,No Churn
592,63,83.5,5435.0,Male,Credit card (automatic),Two year,No Churn
6309,71,25.6,1888.25,Female,Credit card (automatic),Two year,No Churn
4264,46,104.45,4863.85,Female,Electronic check,Month-to-month,Churn
4198,52,23.05,1255.1,Female,Mailed check,Two year,No Churn
3332,1,46.3,46.3,Male,Mailed check,Month-to-month,Churn
5640,1,79.6,79.6,Male,Electronic check,Month-to-month,Churn
5916,72,112.75,8192.6,Female,Credit card (automatic),Two year,No Churn
1867,3,83.75,247.25,Female,Electronic check,Month-to-month,Churn
496,28,60.9,1785.65,Male,Mailed check,Month-to-month,No Churn
1020,39,51.05,2066.0,Female,Credit card (automatic),Month-to-month,Churn
2627,33,25.7,826.1,Female,Credit card (automatic),Two year,No Churn
7036,12,60.65,743.3,Female,Electronic check,One year,No Churn
2275,1,74.5,74.5,Male,Electronic check,Month-to-month,Churn
5926,6,78.65,483.3,Male,Credit card (automatic),Month-to-month,No Churn
2477,3,86.05,244.85,Male,Mailed check,Month-to-month,Churn
5591,4,88.45,370.65,Male,Electronic check,Month-to-month,Churn
3187,34,89.85,3091.75,Male,Electronic check,Month-to-month,No Churn
6107,1,19.95,19.95,Male,Mailed check,Month-to-month,Churn
5792,15,96.3,1426.75,Female,Mailed check,Month-to-month,No Churn
4424,1,24.75,24.75,Male,Electronic check,Month-to-month,Churn
6085,3,50.65,151.3,Female,Mailed check,Month-to-month,Churn
6609,1,20.1,20.1,Male,Mailed check,Month-to-month,Churn
3196,3,20.25,71.2,Female,Mailed check,One year,No Churn
